,breed name,Dog Breed Group,Height,Height Avg.,Weight,Weight Avg.,Life Span,Life Span Avg.,Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
344,Shiloh Shepherd,Working Dogs,26 to 30 inches ,28.0,80 to 130 pounds ,105.0,9 to 14 years ,11.5,3,1,2,4,2,5,4,5,5,5,4,5,4,4,3.0,4,3,4,5,4,5,5,4,1.0,4.0,3,4,4,4,4,5
345,Shiranian,Mixed Breed Dogs,7 to 12 inches,9.5,4 to 16 pounds ,10.0,12 to 16 years,14.0,3,4,4,4,2,2,1,4,5,3,3,4,2,2,2.0,2,2,3,2,2,2,4,1,1.0,2.0,2,3,2,3,2,4
346,Shollie,Mixed Breed Dogs,21 to 29 inches,25.0,70 to 80 pounds,75.0,13 to 15 years,14.0,3,1,2,3,2,4,4,3,4,4,3,2,3,4,2.0,3,3,4,4,4,4,4,3,3.0,3.0,4,4,5,4,4,4
347,Shorkie,Mixed Breed Dogs,6 to 14 inches,10.0,5 to 15 pounds ,10.0,11 to 16 years ,13.5,3,5,3,3,1,2,2,3,4,3,2,3,2,2,1.0,4,2,3,1,3,2,3,2,4.0,4.0,3,4,4,3,2,5
348,Siberian Husky,Working Dogs,20 to 23 inches tall at the shoulder,21.5,35 to 60 pounds,47.5,12 to 15 years,13.5,3,2,1,4,1,5,3,5,5,5,5,5,3,4,3.0,2,4,2,3,4,2,3,4,3.0,5.0,5,5,5,3,5,5
349,Silken Windhound,Hound Dogs,18 to 23.5 inches,20.5,20 to 55 pounds,37.5,14 to 20 years,17.0,4,4,4,4,2,4,4,4,5,4,3,4,3,2,2.0,4,4,2,3,4,5,4,3,5.0,1.0,4,4,4,2,4,5
350,Silky Terrier,Companion Dogs,9 to 10 inches tall at the shoulder,9.5,8 to 10 pounds,9.0,12 to 15 years,13.5,3,5,3,3,3,1,4,3,4,3,2,3,3,2,1.0,4,4,3,1,4,4,4,2,5.0,4.0,3,4,4,4,3,4
351,Skye Terrier,Terrier Dogs,9 to 10 inches tall at the shoulder,9.5,25 to 40 pounds,32.5,12 to 14 years,13.0,4,4,4,3,2,4,4,4,4,4,2,5,3,3,1.0,3,5,3,2,4,2,4,3,4.0,4.0,4,4,3,4,3,4
352,Sloughi,Hound Dogs,24 to 29 inches tall at the shoulder,26.5,40 to 63 pounds,51.5,12 to 16 years,14.0,3,4,2,4,3,2,3,4,5,5,4,3,3,3,1.0,5,3,2,4,3,3,4,3,5.0,2.0,3,4,5,3,5,3
353,Small Munsterlander Pointer,Sporting Dogs,19 to 22 inches tall at the shoulder,20.5,40 to 60 pounds,50.0,12 to 14 years,13.0,3,1,2,3,4,5,3,5,5,5,5,4,3,3,1.0,3,5,3,3,4,5,5,3,5.0,3.0,4,5,4,5,5,4
