,breed name,Dog Breed Group,Height,Height Avg.,Weight,Weight Avg.,Life Span,Life Span Avg.,Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
205,Goldendoodle,Hybrid Dogs,20 to 24 inches tall at the shoulder,22.0,50 to 90 pounds,70.0,10 to 15 years,12.5,3,1,4,4,3,3,3,5,5,5,5,4,3,2,1.0,4,3,3,4,3,4,5,1,1.0,3.0,3,4,4,3,5,5
206,Gollie,Mixed Breed Dogs,22 to 26 inches,24.0,50 to 75 pounds,62.5,12 to 15 years,13.5,3,1,4,3,2,3,3,5,5,5,4,4,3,4,2.0,3,3,4,3,3,4,4,2,2.0,2.0,4,4,5,3,4,5
207,Gordon Setter,Sporting Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",6.0,45 to 80 pounds,62.5,10 to 12 years,11.0,3,2,3,4,1,4,3,3,5,3,2,3,3,5,3.0,2,4,3,3,4,5,5,3,4.0,5.0,4,4,5,2,5,5
208,Great Dane,Working Dogs,26 to 34 inches tall at the shoulder,30.0,100 to 200 pounds,150.0,7 to 10 years,8.5,2,1,1,5,1,2,3,5,5,5,5,5,4,5,4.0,5,4,2,5,3,5,3,2,3.0,4.0,3,5,5,5,5,5
209,Great Pyrenees,Working Dogs,25 to 32 inches tall at the shoulder,28.5,85 to 160 pounds,122.5,10 to 12 years,11.0,3,1,1,4,3,5,3,4,5,4,4,3,4,5,2.0,4,2,4,5,4,1,4,2,5.0,5.0,5,5,5,5,5,4
210,Greater Swiss Mountain Dog,Working Dogs,23 to 28 inches tall at the shoulder,25.5,85 to 140 pounds,112.5,7 to 9 years,8.0,3,1,2,4,3,5,1,5,5,5,5,3,3,3,1.0,5,2,4,5,3,3,3,3,4.0,4.0,3,4,5,4,3,5
211,Greyador,Mixed Breed Dogs,21 to 27 inches,24.0,50 to 80 pounds ,65.0,11 to 13 years,12.0,3,3,2,5,1,1,3,5,5,5,5,5,5,5,4.0,5,4,5,4,4,3,5,5,4.0,4.0,4,4,4,4,4,4
212,Greyhound,Hound Dogs,"2 feet, 1 inch to 2 feet, 6 inches tall at the shoulder",1.5,50 to 85 pounds,67.5,12 to 15 years,13.5,3,4,2,5,1,1,5,5,5,5,4,5,5,4,5.0,5,4,5,4,4,5,5,4,5.0,2.0,5,4,5,3,5,4
213,Hamiltonstovare,Hound Dogs,19 to 24 inches,21.5,40 to 75 pounds,57.5,14 to 17 years,15.5,3,3,2,4,3,3,3,4,5,4,3,3,3,1,1.0,4,4,3,3,3,3,4,2,5.0,3.0,2,4,5,3,4,4
214,Hanoverian Scenthound,Working Dogs,19 to 22 inches,20.5,80 to 100 pounds,90.0,12 to 14 years,13.0,3,2,1,4,3,3,3,4,5,5,4,3,3,2,1.0,4,4,3,4,3,2,4,2,4.0,3.0,2,4,4,3,4,4
215,Harrier,Hound Dogs,19 to 21 inches tall at the shoulder,20.0,45 to 60 pounds,52.5,10 to 12 years,11.0,3,1,3,2,3,3,4,5,4,5,5,5,3,3,1.0,5,5,3,3,4,2,4,3,4.0,4.0,5,5,5,4,5,5
216,Havanese,Companion Dogs,8 to 11 inches tall at the shoulder,9.5,7 to 13 pounds,10.0,12 to 15 years,13.5,4,5,5,4,1,3,4,5,5,4,5,5,2,2,1.0,1,3,4,2,3,5,4,3,4.0,2.0,2,3,3,2,3,5
217,Hokkaido,Working Dogs,18 to 22 Inches,20.0,45 to 65 Pounds,55.0,11 to 13 Years,12.0,3,3,2,2,3,5,2,4,4,4,3,3,3,4,2.0,1,5,3,3,3,3,4,3,4.0,3.0,3,3,3,2,3,3
218,Horgi,Mixed Breed Dogs,12 to 15 inches ,13.5,20 to 50 pounds,35.0,12 to 15 years ,13.5,3,2,2,4,2,4,3,5,5,5,4,5,3,4,2.0,3,3,3,2,4,4,4,4,4.0,3.0,3,4,4,3,4,4
219,Hovawart,Working Dogs,23 to 29 inches,26.0,55 to 110 pounds,82.5,10 to 14 years,12.0,3,1,2,3,2,4,3,3,4,4,2,2,3,3,1.0,4,4,3,4,2,2,4,2,2.0,2.0,2,4,4,4,4,4
220,Huskita,Mixed Breed Dogs,22 to 25 inches ,23.5,50 to 75 pounds ,62.5,10 to 13 years,11.5,3,2,1,4,1,5,3,3,5,2,2,3,3,4,3.0,1,4,3,4,4,2,3,3,4.0,5.0,5,5,4,4,5,5
221,Huskydoodle,Mixed Breed Dogs,12 to 25 inches,18.5,40 to 60 pounds,50.0,10 to 14 years,12.0,3,2,2,3,2,4,3,4,4,4,4,3,3,3,2.0,3,4,4,3,3,3,5,3,4.0,2.0,2,5,5,4,5,4
222,Ibizan Hound,Hound Dogs,22 to 27 inches tall at the shoulder,24.5,45 to 50 pounds,47.5,10 to 14 years,12.0,3,5,3,4,2,1,4,5,5,5,5,4,3,3,1.0,5,4,1,3,4,3,4,3,5.0,2.0,5,5,5,3,5,5
223,Icelandic Sheepdog,Herding Dogs,16 to 18 inchestall at the shoulder,17.0,20 to 30 pounds,25.0,14 to 15 years,14.5,3,1,1,3,2,5,3,3,4,4,2,2,3,5,1.0,1,3,3,3,3,3,4,3,4.0,1.0,4,4,4,5,4,4
224,Irish Red And White Setter,Sporting Dogs,22 to 26 inches tall at the shoulder,24.0,50 to 70 pounds,60.0,10 to 14 years,12.0,3,1,3,4,1,4,3,4,5,4,4,4,2,3,1.0,3,2,2,3,4,4,4,4,3.0,3.0,4,5,5,5,5,5
225,Irish Setter,Sporting Dogs,"2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder",1.5,60 to 70 pounds,65.0,11 to 15 years,13.0,3,1,3,4,2,4,3,5,5,5,5,5,3,4,2.0,3,2,3,4,5,4,5,5,5.0,4.0,5,5,5,3,5,5
226,Irish Terrier,Terrier Dogs,18 to 20 inches tall at the shoulder,19.0,25 to 27 pounds,26.0,12 to 16 years,14.0,3,3,2,3,2,4,4,4,5,5,1,3,3,4,1.0,2,5,3,3,3,1,4,1,2.0,4.0,3,5,5,4,4,5
227,Irish Water Spaniel,Sporting Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",5.0,45 to 65 pounds,55.0,10 to 12 years,11.0,3,3,2,4,3,4,4,5,5,5,4,5,2,1,2.0,3,2,3,3,4,5,4,3,5.0,4.0,3,4,5,3,5,4
228,Irish Wolfhound,Hound Dogs,32 to 35 inches tall at the shoulder,33.5,115 to 180 pounds,147.5,6 to 8 years,7.0,2,1,2,3,2,4,2,5,5,5,5,5,3,3,1.0,3,1,3,5,3,3,4,3,5.0,1.0,3,3,2,2,4,4
229,Italian Greyhound,Companion Dogs,13 to 15 inches tall at the shoulder,14.0,6 to 15 pounds,10.5,14 to 15 years,14.5,3,5,5,5,1,1,3,5,5,5,4,4,3,2,1.0,5,3,2,2,4,3,3,4,5.0,3.0,3,4,4,2,4,4
230,Jack-A-Poo,Mixed Breed Dogs,10 to 16 inches,13.0,13 to 25 pounds,19.0,12 to 15 years,13.5,4,4,4,4,2,4,4,5,5,5,5,4,2,2,1.0,2,3,4,2,4,4,5,4,4.0,3.0,4,5,5,4,5,5
231,Jack Chi,Mixed Breed Dogs,12 to 15 inches,13.5,8 to 18 pounds,13.0,13 to 18 years,15.5,3,4,2,3,3,2,4,4,4,5,4,3,3,2,2.0,5,4,4,2,3,2,4,2,4.0,2.0,4,4,4,4,4,5
232,Jack Russell Terrier,Terrier Dogs,10 to 15 inches tall at the shoulder,12.5,13 to 17 pounds,15.0,10 to 15 years,12.5,3,3,2,3,3,4,3,5,5,4,5,4,3,3,1.0,3,4,4,2,4,4,5,4,5.0,4.0,4,5,5,5,5,5
233,Jackshund,Mixed Breed Dogs,8 to 23 inches,15.5,15 to 28 pounds,21.5,12 to 15 years,13.5,3,4,2,3,3,3,3,4,5,4,4,3,3,3,1.0,3,3,5,2,5,3,5,4,5.0,5.0,5,4,4,4,4,5
234,Japanese Chin,Companion Dogs,8 to 11 inches tall at the shoulder,9.5,4 to 9 pounds,6.5,10 to 14 years,12.0,3,5,4,3,1,3,2,3,3,3,3,4,2,3,1.0,3,3,3,1,3,3,3,4,3.0,3.0,1,2,2,1,2,4
235,Japanese Spitz,Companion Dogs,10 to 16 inches,13.0,11 to 20 pounds,15.5,10 to 16 years,13.0,3,4,4,3,2,4,3,4,4,5,4,2,3,3,1.0,4,3,2,2,3,4,4,2,2.0,4.0,2,3,3,2,3,4
236,Korean Jindo Dog,Sporting Dogs,19½ to 21 inches for males and 18½ to 20 inches for females,20.0,35 - 60 pounds,47.5,12 - 15 years,13.5,3,3,2,3,2,5,2,4,5,3,3,4,3,5,1.0,1,4,2,3,3,2,5,2,5.0,3.0,5,4,4,4,5,4
237,Kai Ken,Companion Dogs,17 to 22 inches,19.5,25 to 45 pounds,35.0,12 to 16 years,14.0,3,2,2,2,3,4,3,3,4,4,3,2,3,4,2.0,2,4,3,3,3,3,5,2,5.0,2.0,3,4,5,4,5,3
238,Karelian Bear Dog,Working Dogs,19 to 24 inches,21.5,44 to 50 pounds,47.0,10 to 13 years,11.5,3,2,1,4,2,5,3,3,4,3,1,2,3,3,1.0,4,4,2,3,4,2,4,4,5.0,4.0,5,4,4,5,4,4
239,Keeshond,Companion Dogs,"1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder",2.5,35 to 45 pounds,40.0,12 to 15 years,13.5,4,4,4,5,1,5,3,5,5,5,4,4,3,5,1.0,3,3,4,3,3,4,4,3,3.0,4.0,2,4,4,3,3,5
240,Kerry Blue Terrier,Terrier Dogs,17 to 19 inches tall at the shoulder,18.0,33 to 40 pounds,36.5,12 to 15 years,13.5,3,3,2,3,3,4,3,4,4,4,2,5,2,1,1.0,2,3,3,3,4,4,4,4,3.0,4.0,3,4,4,4,5,4
241,King Shepherd,Hybrid Dogs,25 to 31 inches ,28.0,75 to 150 pounds ,112.5,10 to 11 years ,10.5,4,4,2,4,2,5,4,4,4,4,5,4,4,4,4.0,4,3,4,5,3,4,5,3,2.0,2.0,3,4,3,3,4,4
242,Kishu Ken,Working Dogs,17 to 22 inches,19.5,30 to 60 pounds,45.0,9 to 13 years,11.0,3,3,2,3,3,5,3,3,3,3,2,2,3,4,2.0,3,4,3,3,3,4,5,2,4.0,1.0,2,3,3,3,4,2
243,Komondor,Working Dogs,25 to 27 inches tall at the shoulder,26.0,80 to 100 pounds,90.0,10 to 12 years,11.0,3,2,1,4,1,4,3,3,5,3,1,1,3,3,2.0,2,2,3,4,4,4,4,3,2.0,5.0,4,3,2,1,4,4
244,Kooikerhondje,Sporting Dogs,14 to 16 inches tall at the shoulder,15.0,20 to 25 pounds,22.5,12 to 14 years,13.0,3,4,3,4,2,4,3,2,3,2,2,2,3,3,1.0,2,5,3,3,3,1,4,3,3.0,3.0,3,5,4,5,5,4
245,Kuvasz,Working Dogs,26 to 30 inches tall at the shoulder,28.0,70 to 115 pounds,92.5,10 to 12 years,11.0,3,1,1,5,1,5,2,2,5,1,2,1,4,4,3.0,4,4,4,5,2,2,4,1,1.0,3.0,3,4,4,4,5,4
246,Kyi-Leo,Mixed Breed Dogs,8 to 12 inches,10.0,8 to 14 pounds,11.0,13 to 15 years,14.0,4,5,4,3,4,5,2,4,5,5,4,3,2,2,1.0,2,3,3,2,3,3,3,4,1.0,4.0,2,3,4,3,2,4
247,Lab Pointer,Mixed Breed Dogs,22 to 28 inches,25.0,35 to 80 pounds,57.5,10 to 15 years,12.5,3,1,4,3,1,4,4,4,5,4,3,4,3,2,2.0,4,4,4,4,4,5,4,2,4.0,2.0,4,4,5,3,5,4
248,Labernese,Mixed Breed Dogs,24 to 28 inches,26.0,65 to 110 pounds,87.5,6 to 12 years,9.0,3,2,4,4,1,4,2,4,4,5,4,3,3,4,3.0,3,2,4,4,3,3,4,3,3.0,2.0,4,4,4,2,4,5
249,Labmaraner,Mixed Breed Dogs,21 to 24 inches,22.5,60 to 100 pounds,80.0,10 to 12 years,11.0,3,1,4,4,1,3,3,4,4,5,4,3,3,1,2.0,4,4,4,4,4,4,4,3,3.0,3.0,4,4,4,3,5,5
250,Labrabull,Mixed Breed Dogs,20 to 24 inches ,22.0,45 to 90 pounds ,67.5,10 to 14 years ,12.0,3,2,2,4,1,3,3,4,5,5,2,5,4,5,2.0,5,3,3,4,4,5,5,5,3.0,3.0,4,5,5,5,4,5
251,Labradane,Mixed Breed Dogs,24 to 30 inches,27.0,100 to 180 pounds,140.0,8 to 12 years,10.0,3,1,2,3,2,4,4,4,5,5,4,3,4,2,3.0,4,4,4,5,3,3,4,2,3.0,1.0,3,4,4,2,4,5
252,Labradoodle,Hybrid Dogs,21 to 24 inches at the shoulder,22.5,50 to 65 pounds,57.5,12 to 14 years,13.0,4,3,4,3,4,5,4,5,5,4,5,5,3,3,1.0,4,4,3,4,3,4,4,1,2.0,2.0,3,5,5,4,5,5
253,Labrador Retriever,Sporting Dogs,21 to 24 inches at the shoulder,22.5,55 to 80 pounds,67.5,10 to 12 years,11.0,3,1,3,5,2,3,3,5,5,5,5,5,4,5,3.0,5,3,5,4,4,5,5,5,2.0,4.0,3,5,5,5,5,5
254,Labrastaff,Mixed Breed Dogs,17 to 24 inches,20.5,40 to 80 pounds,60.0,10 to 14 years,12.0,3,2,2,4,1,3,3,4,4,4,3,4,4,4,3.0,3,4,4,4,3,2,4,3,3.0,3.0,4,4,4,3,4,4
255,Labsky,Mixed Breed Dogs,20 to 28 inches,24.0,40 to 60 pounds,50.0,10 to 12 years,11.0,2,2,2,2,2,5,1,4,5,4,3,3,3,4,2.0,2,3,4,4,4,4,5,3,4.0,4.0,4,5,5,4,5,5
256,Lagotto Romagnolo,Sporting Dogs,14 to 19 inches,16.5,24 to 35 pounds,29.5,14 to 17 years,15.5,3,2,4,3,3,4,3,3,3,3,3,3,2,1,2.0,1,4,3,2,3,4,4,2,4.0,3.0,3,4,4,2,4,4
257,Lakeland Terrier,Terrier Dogs,13 to 14 inches tall at the shoulder,13.5,15 to 17 pounds,16.0,12 to 15 years,13.5,3,4,3,3,2,4,4,4,5,4,3,3,3,2,1.0,2,5,3,2,3,2,4,1,4.0,4.0,3,4,5,4,4,4
258,Lancashire Heeler,Herding Dogs,10 to 12 inches tall at the shoulder,11.0,13 to 15 pounds,14.0,9 to 14 years,11.5,3,2,2,3,3,3,3,3,4,3,3,2,3,3,1.0,4,4,4,1,3,3,4,2,2.0,2.0,4,4,4,4,3,4
259,Leonberger,Working Dogs,25 to 31 inches tall at the shoulder,28.0,120 to 170 pounds,145.0,10 to 12 years,11.0,2,1,1,4,2,5,1,4,5,4,3,2,4,5,3.0,4,1,4,5,3,2,3,4,4.0,3.0,2,4,4,4,4,4
260,Lhasa Apso,Companion Dogs,9 to 11 inches tall at the shoulder,10.0,12 to 15 pounds,13.5,12 to 15 years,13.5,4,5,5,5,4,3,2,3,4,4,3,2,2,3,1.0,1,3,3,1,3,3,4,3,4.0,4.0,2,4,4,3,3,5
261,Lhasapoo,Mixed Breed Dogs,9 to 13 inches,11.0,10 to 15 pounds,12.5,10 to 15 years,12.5,3,4,2,4,2,3,3,3,4,3,3,1,3,1,1.0,3,4,3,3,3,3,5,2,2.0,4.0,2,4,4,4,3,4
262,Lowchen,Companion Dogs,12 to 14 inches tall at the shoulder,13.0,9 to 18 pounds,13.5,13 to 15 years,14.0,3,5,4,3,1,3,3,5,5,5,4,4,3,3,1.0,3,5,3,1,4,5,4,3,4.0,4.0,5,4,4,3,4,5
263,Maltese,Companion Dogs,8 to 10 inches tall at the shoulder,9.0,Up to 7 pounds,7.0,12 to 15 years,13.5,3,5,5,4,1,1,3,4,5,3,4,2,2,2,1.0,2,3,3,1,3,4,4,3,4.0,4.0,1,3,3,3,2,4
264,Maltese Shih Tzu,Hybrid Dogs,From 10 inches tall at the shoulder,10.0,6 to 12 pounds,9.0,12 to 14 years,13.0,3,5,5,3,3,2,2,3,4,3,3,3,2,1,1.0,2,2,3,1,4,4,3,4,5.0,4.0,1,3,3,2,3,3
265,Maltipoo,Hybrid Dogs,8 to 14 inches tall at the shoulder,11.0,5 to 20 pounds,12.5,10 to 13 years,11.5,4,5,5,5,1,2,3,4,5,4,4,4,2,1,1.0,3,2,2,2,4,5,4,3,2.0,5.0,4,3,3,3,2,4
266,Manchester Terrier,Terrier Dogs,15 to 16 inches tall at the shoulder,15.5,12 to 22 pounds,17.0,14 to 16 years,15.0,3,5,3,3,3,1,3,3,4,3,3,3,3,3,1.0,5,2,4,2,3,2,4,2,4.0,4.0,4,4,4,4,4,4
267,Maremma Sheepdog,Working Dogs, 23.5 to 28.5 inches,14.0,65 to 100 pounds,82.5,11 to 13 years,12.0,2,1,1,4,2,4,2,3,4,4,4,1,4,5,3.0,2,5,5,4,2,1,5,2,1.0,2.0,2,4,4,4,4,2
268,Mastador,Mixed Breed Dogs,28 to 36 inches,32.0,85 to 160 pounds ,122.5,10 to 12 years ,11.0,3,1,2,4,3,4,2,4,5,5,3,3,4,4,4.0,4,4,4,4,3,4,4,4,2.0,2.0,2,4,4,4,4,4
269,Mastiff,Working Dogs,27 to 32 inches tall at the shoulder,29.5,130 to 220 pounds,175.0,6 to 10 years,8.0,2,2,1,3,3,4,1,4,5,5,2,2,4,3,5.0,3,3,4,5,2,3,2,4,2.0,2.0,1,4,3,3,4,4
270,Miniature Pinscher,Companion Dogs,10 to 12 inches tall at the shoulder,11.0,8 to 11 pounds,9.5,10 to 14 years,12.0,3,5,3,5,2,1,3,3,5,3,2,3,3,2,1.0,5,3,5,1,4,3,3,2,3.0,5.0,5,4,4,3,4,5
271,Miniature Schnauzer,Terrier Dogs,13 to 14 inches tall at the shoulder,13.5,11 to 20 pounds,15.5,12 to 14 years,13.0,4,4,3,4,5,4,4,4,5,3,3,3,2,2,1.0,2,3,4,2,4,5,4,2,4.0,3.0,3,4,5,3,5,4
272,Morkie,Mixed Breed Dogs,4 to 8 inches,6.0,7 to 13 pounds,10.0,10 to 14 years,12.0,3,3,2,3,2,2,3,3,4,3,2,3,2,1,1.0,3,4,4,1,4,3,4,5,3.0,5.0,2,4,4,3,4,5
273,Mountain Cur,Working Dogs,16 to 26 inches,21.0,30 to 60 pounds,45.0,10 to 16 years,13.0,3,1,1,3,2,4,4,3,4,4,3,2,3,2,1.0,4,5,1,4,3,2,4,2,5.0,3.0,4,4,4,4,5,4
274,Mudi,Herding Dogs,14 to 20 inches,17.0,18 to 29 pounds,23.5,12 to 14 years,13.0,3,2,4,4,2,3,3,3,4,2,2,2,3,3,1.0,4,4,2,2,4,5,4,3,4.0,4.0,4,4,4,2,4,4
275,Mutt (Mixed),Mixed Breed Dogs,,16.769329896907216,,49.1124031007752,8 to 15 years,11.5,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3.0,3,4,3,3,3,4,4,3,3.0,3.0,3,3,3,3,3,3
276,Neapolitan Mastiff,Working Dogs,24 to 31 inches tall at the shoulder,27.5,120 to 200 pounds,160.0,8 to 10 years,9.0,2,2,1,4,1,1,2,3,5,4,2,1,4,3,5.0,3,2,5,5,2,3,3,2,1.0,1.0,1,3,3,1,3,4
277,Newfoundland,Working Dogs,"2 feet, 1 inch to 2 feet, 5 inches tall at the shoulder",1.5,100 to 150 pounds,125.0,8 to 10 years,9.0,3,1,3,4,1,5,2,5,5,5,4,4,4,5,5.0,2,1,4,5,4,5,4,3,4.0,4.0,3,3,3,1,3,4
278,Norfolk Terrier,Terrier Dogs,9 to 10 inches tall at the shoulder,9.5,11 to 12 pounds,11.5,12 to 15 years,13.5,4,4,5,4,3,4,4,5,5,4,5,4,3,1,1.0,4,5,5,1,3,5,4,2,1.0,3.0,4,4,4,4,4,5
279,Northern Inuit Dog,Hybrid Dogs,23 to 32 inches,27.5,55 to 110 pounds,82.5,12 to 15 years,13.5,3,1,1,4,1,5,3,4,5,4,3,5,3,5,1.0,2,4,2,4,4,2,4,4,4.0,5.0,5,5,5,4,5,5
280,Norwegian Buhund,Herding Dogs,16 to 18 inches tall at the shoulder,17.0,26 to 40 pounds,33.0,12 to 15 years,13.5,3,3,3,3,4,5,2,4,5,5,3,3,3,3,1.0,2,4,3,3,3,4,3,3,2.0,4.0,4,5,4,4,5,5
281,Norwegian Elkhound,Hound Dogs,19 to 20 inches tall at the shoulder,19.5,48 - 55,51.5,12 to 15 years,13.5,4,4,4,4,2,5,3,4,5,4,4,4,3,5,1.0,3,4,4,3,4,2,4,3,4.0,4.0,4,4,5,3,5,4
282,Norwegian Lundehund,Working Dogs,"1 foot to 1 foot, 3 inches tall at the shoulder",1.0,13 to 16 pounds,14.5,10 to 12 years,11.0,3,1,1,3,2,5,3,5,5,5,5,5,3,5,1.0,4,3,3,3,3,4,5,3,2.0,1.0,5,5,4,4,5,5
283,Norwich Terrier,Terrier Dogs,Up to 10 inches tall at the shoulder,10.0,Up to 12 pounds,12.0,10 to 14 years,12.0,4,5,3,4,2,4,4,5,5,5,5,5,3,2,1.0,2,4,5,1,4,4,4,4,3.0,4.0,4,5,5,4,4,5
284,Nova Scotia Duck Tolling Retriever,Sporting Dogs,"1 foot, 5 inches to 1 foot, 9 inches tall at the shoulder",3.0,35 to 50 pounds,42.5,10 to 14 years,12.0,4,5,3,3,2,4,4,5,5,5,4,4,3,3,1.0,5,4,4,3,4,4,5,4,5.0,4.0,3,5,5,3,5,5
285,Old English Sheepdog,Herding Dogs,From 21 inches tall at the shoulder,21.0,60 - 100,80.0,10 to 12 years,11.0,4,5,4,4,2,4,2,4,5,4,4,4,3,1,4.0,1,4,4,4,3,3,4,2,3.0,1.0,2,4,4,3,4,4
286,Otterhound,Hound Dogs,24 to 27 inches tall at the shoulder,25.5,65 - 125,95.0,10 to 12 years,11.0,3,1,4,2,5,4,3,5,5,5,5,4,3,4,1.0,2,4,3,4,4,2,4,3,5.0,2.0,5,5,5,4,5,5
287,Papillon,Companion Dogs,8 to 11 inches tall at the shoulder,9.5,4 to 9 pounds,6.5,12 to 16 years,14.0,3,5,5,3,1,2,4,4,5,3,4,5,2,2,1.0,3,3,3,1,3,5,4,3,4.0,2.0,1,4,4,3,5,5
288,Papipoo,Mixed Breed Dogs,10 to 11 inches,10.5,6 to 14 pounds,10.0,10 to 14 years,12.0,4,5,5,4,1,2,4,4,5,3,4,4,2,1,1.0,2,3,3,1,3,5,5,3,3.0,2.0,2,5,5,3,5,5
289,Patterdale Terrier,Terrier Dogs,12 to 15 inches,13.5,11 to 13 pounds ,12.0,11 to 14 years,12.5,3,1,2,4,1,4,4,4,4,4,4,4,3,2,1.0,4,4,3,2,4,3,5,4,5.0,2.0,4,4,4,4,4,4
290,Peekapoo,Hybrid Dogs,Up to 11 inches tall at the shoulder,11.0,4 to 20 pounds,12.0,10 to 15 years,12.5,4,5,5,4,2,3,2,4,5,4,4,3,2,2,1.0,2,3,4,1,3,3,4,4,3.0,4.0,1,3,3,2,3,4
291,Pekingese,Companion Dogs,6 to 9 inches tall at the shoulder,7.5,7 to 14 pounds,10.5,12 to 15 years,13.5,3,5,4,2,3,4,1,3,5,2,2,2,2,4,1.0,1,2,3,1,4,3,4,3,5.0,4.0,3,2,2,1,2,3
292,Pembroke Welsh Corgi,Herding Dogs,10 to 12 inches tall at the shoulder,11.0,Up to 30 pounds,30.0,12 to 14 years,13.0,4,4,4,4,3,4,3,4,5,4,3,5,3,5,1.0,4,3,4,2,4,5,5,2,3.0,5.0,2,4,4,3,4,4
293,Petit Basset Griffon Vendéen,Hound Dogs,13 to 15 inches tall at the shoulder,14.0,30 to 40 pounds,35.0,Starts at 14 years,14.0,3,4,3,3,3,4,3,5,5,5,5,5,3,4,1.0,2,3,4,2,4,1,4,3,5.0,5.0,5,5,5,4,5,5
294,Pharaoh Hound,Hound Dogs,21 to 25 inches tall at the shoulder,23.0,45 to 55 pounds,50.0,11 to 14 years,12.5,4,4,4,5,2,1,5,5,5,5,5,4,3,2,1.0,4,5,3,3,4,3,4,4,5.0,4.0,4,3,2,3,4,4
295,Pitsky,Mixed Breed Dogs,16 to 25 inches ,20.5,30 to 80 pounds ,55.0,12 to 16 years ,14.0,2,2,1,4,1,3,3,5,5,5,3,5,3,4,2.0,3,4,2,3,4,3,3,4,3.0,4.0,4,5,4,4,5,5
296,Plott,Hound Dogs,20 to 27 inches tall at the shoulder,23.5,40 to 75 pounds,57.5,12 to 14 years,13.0,2,1,1,4,2,2,4,4,4,3,5,3,3,2,1.0,5,5,3,3,4,4,3,3,5.0,1.0,5,4,4,4,5,3
297,Pocket Beagle,Hound Dogs,7 to 12 inches tall at the shoulder,9.5,7 to 15 pounds,11.0,Starts at 10 years,10.0,3,4,3,4,2,2,4,5,5,5,5,4,3,3,1.0,5,3,5,2,4,3,4,4,3.0,5.0,5,4,4,4,4,4
298,Pointer,Sporting Dogs,"1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder",6.0,45 to 75 pounds,60.0,12 to 15 years,13.5,2,1,1,3,1,2,4,5,5,5,5,5,3,3,1.0,5,3,3,3,5,5,5,5,5.0,3.0,5,5,5,5,5,5
299,Polish Lowland Sheepdog,Herding Dogs,17 to 20 inches tall at the shoulder,18.5,35 to 55 pounds,45.0,10 to 12 years,11.0,4,4,2,4,3,4,4,4,5,4,3,3,2,1,1.0,1,4,3,3,3,4,4,3,3.0,2.0,3,4,4,3,4,4
300,Pomapoo,Mixed Breed Dogs,8 to 10 inches,9.0,5 to 15 pounds,10.0,12 to 15 years ,13.5,3,5,5,4,1,3,2,4,5,3,3,3,2,3,1.0,1,3,4,1,3,4,4,3,2.0,3.0,1,3,3,3,3,4
301,Pomchi,Mixed Breed Dogs,6 to 10 inches,8.0,4 to 12 pounds,8.0,12 to 18 years,15.0,3,4,3,3,3,2,4,3,4,3,3,3,3,3,1.0,2,5,4,1,4,3,4,4,3.0,4.0,3,4,3,4,3,4
302,Pomeagle,Mixed Breed Dogs,6 to 11 inches ,8.5,5 to 25 pounds ,15.0,12 to 15 years ,13.5,3,4,4,4,1,3,2,4,5,3,3,3,3,4,1.0,2,3,4,1,3,3,2,3,3.0,5.0,4,4,4,3,3,4
